id,guid,published_on,imageurl,title,url,body,tags,lang,upvotes,downvotes,categories,source_info,source,date
36369056,https://cryptonews.com/?p=308117,1731707302,https://resources.cryptocompare.com/news/52/36369056.jpeg,"Peanut the Squirrel Hits $2B Market Cap, GOAT Hits $1B – Is New Animal Meme Coin Flockerz Next?",https://cryptonews.com/news/peanut-the-squirrel-hits-2b-market-cap-goat-hits-1b-is-new-animal-meme-coin-flockerz-next/,"Peanut the Squirrel's memecoin, PNUT, has skyrocketed to a $2 billion market cap within two weeks of launch, captivating investors with its emotional backstory and sparking speculation about the next breakout token, Flockerz. The post Peanut the Squirrel Hits $2B Market Cap, GOAT Hits $1B – Is New Animal Meme Coin Flockerz Next? appeared first on Cryptonews .",Industry Talk|Peanut the Squirrel,EN,0,0,MARKET|BUSINESS,"{'name': 'cryptonews', 'img': 'https://images.cryptocompare.com/news/default/cryptonews.png', 'lang': 'EN'}",cryptonews,2024-11-15 21:48:22
36364749,https://en.coinotag.com/bitcoin-depot-reports-third-quarter-2024-revenue-decline-as-atm-expansion-efforts-continue/,1731707522,https://resources.cryptocompare.com/news/77/36364749.jpeg,Bitcoin Depot Reports Third Quarter 2024 Revenue Decline as ATM Expansion Efforts Continue,https://en.coinotag.com/bitcoin-depot-reports-third-quarter-2024-revenue-decline-as-atm-expansion-efforts-continue/,"Bitcoin Depot, a leading crypto ATM manufacturer, has disclosed notable financial results for Q3 2024, highlighting a significant revenue shift in the competitive market. The company faced a 25% decline",News|BTC,EN,0,0,BTC|BUSINESS|MARKET,"{'name': 'CoinOtag', 'img': 'https://resources.cryptocompare.com/news/77/default.png', 'lang': 'EN'}",coinotag,2024-11-15 21:52:02
36364856,https://en.coinotag.com/tethers-usdt-circulation-reaches-127-billion-as-1-billion-minted-on-tron-network-with-zero-fees/,1731707615,https://resources.cryptocompare.com/news/77/36364856.jpeg,Tether’s USDt Circulation Reaches $127 Billion as $1 Billion Minted on Tron Network with Zero Fees,https://en.coinotag.com/tethers-usdt-circulation-reaches-127-billion-as-1-billion-minted-on-tron-network-with-zero-fees/,"Tether, the leading stablecoin issuer, continues to make waves in the crypto market, with $127 billion of its USDt tokens currently circulating globally. Tether’s recent minting of $1 billion USDt",Analysis|News|ARKM|ETH|TRX|USDT,EN,0,0,USDT|MARKET|ARKM|ETH|TRX,"{'name': 'CoinOtag', 'img': 'https://resources.cryptocompare.com/news/77/default.png', 'lang': 'EN'}",coinotag,2024-11-15 21:53:35
36364850,https://www.cryptonewsz.com/ripple-ceo-bold-xrp-price-soars-to-2-year-high/,1731707660,https://images.cryptocompare.com/news/default/cryptonewsz.png,Ripple CEO’s Bold Statement as XRP Price Soars to 2-Year High,https://www.cryptonewsz.com/ripple-ceo-bold-xrp-price-soars-to-2-year-high/,Ripple CEO Brad Garlinghouse made a bold statement highlighting the impressive performance of U.S.-linked cryptocurrencies. He spotlighted the…,,EN,0,0,TRADING|XRP,"{'name': 'CryptoNewsZ', 'img': 'https://images.cryptocompare.com/news/default/cryptonewsz.png', 'lang': 'EN'}",cryptonewsz,2024-11-15 21:54:20
36364934,https://cointelegraph.com/news/ethena-adopts-fee-sharing-proposal-ena-token,1731707700,https://images.cryptocompare.com/news/default/cointelegraph.png,Ethena adopts fee-sharing proposal for ENA token,https://cointelegraph.com/news/ethena-adopts-fee-sharing-proposal-ena-token?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,Now the protocol is working on a value accrual mechanism for ENA stakers.,ethena|ena|sena|usde|ena fee share|wintermute|stablecoins,EN,0,0,ENA|BLOCKCHAIN,"{'name': 'CoinTelegraph', 'img': 'https://images.cryptocompare.com/news/default/cointelegraph.png', 'lang': 'EN'}",cointelegraph,2024-11-15 21:55:00
36365005,https://crypto.news/?p=14311045,1731707871,https://resources.cryptocompare.com/news/74/36365005.jpeg,Flockerz presale crosses $1.8 Million; geared to be the best meme coin investment,https://crypto.news/flockerz-presale-crosses-1-8-million-geared-to-be-the-best-meme-coin-investment/,"Bitcoin hits $90K and meme coins soar, while presale meme coin Flockerz raises $1.8 million amid the buzz. #partnercontent",Partner Content|sponsored,EN,0,0,SPONSORED|BTC,"{'name': 'nft.news', 'img': 'https://resources.cryptocompare.com/news/74/default.png', 'lang': 'EN'}",nft_news,2024-11-15 21:57:51
36364995,https://crypto.news/?p=14311045,1731707871,https://resources.cryptocompare.com/news/73/36364995.jpeg,Flockerz presale crosses $1.8 Million; geared to be the best meme coin investment,https://crypto.news/flockerz-presale-crosses-1-8-million-geared-to-be-the-best-meme-coin-investment/,"Bitcoin hits $90K and meme coins soar, while presale meme coin Flockerz raises $1.8 million amid the buzz. #partnercontent",Partner Content,EN,0,0,BTC,"{'name': 'crypto.news', 'img': 'https://resources.cryptocompare.com/news/73/default.png', 'lang': 'EN'}",crypto_news,2024-11-15 21:57:51
36365144,https://en.coin-turk.com/?p=173931,1731708017,https://resources.cryptocompare.com/news/79/36365144.jpeg,Experts Predict Bitcoin’s Potential to Reach New All-Time Highs,https://en.coin-turk.com/experts-predict-bitcoins-potential-to-reach-new-all-time-highs/,Experts predict Bitcoin may reach new all-time highs soon. Ethereum maintains its market strength despite Bitcoin's decline. Continue Reading: Experts Predict Bitcoin’s Potential to Reach New All-Time Highs The post Experts Predict Bitcoin’s Potential to Reach New All-Time Highs appeared first on COINTURK NEWS .,Bitcoin (BTC),EN,0,0,BTC|ETH|MARKET,"{'name': 'CoinTurk News', 'img': 'https://resources.cryptocompare.com/news/79/default.png', 'lang': 'EN'}",cointurken,2024-11-15 22:00:17
36365436,https://www.cryptopolitan.com/?p=613745,1731708031,https://resources.cryptocompare.com/news/43/36365436.jpeg,"Vanguard may allow crypto ETFs by 2025 as market momentum grows, analyst predicts",https://www.cryptopolitan.com/vanguard-may-allow-crypto-etfs-by-2025/,"ETF Foundation president Nate Geraci has predicted that asset manager Vanguard Group will soon allow access to spot Bitcoin and Ethereum exchange-traded funds on its brokerage platform. In a post on X, Geraci said he expects Vanguard to reverse its refusal to allow these ETFs. The comment follows the recent performance of the spot Bitcoin",News|Bitcoin|Vanguard,EN,0,0,BTC|MARKET|ETH|REGULATION,"{'name': 'Cryptopolitan', 'img': 'https://images.cryptocompare.com/news/default/cryptopolitan.png', 'lang': 'EN'}",cryptopolitan,2024-11-15 22:00:31
36365143,https://ambcrypto.com/?p=442856,1731708044,https://images.cryptocompare.com/news/default/ambcrypto.png,Shrub crypto gains 3100% within five days – Should you take profits or HODL?,https://ambcrypto.com/shrub-crypto-gains-3100-within-five-days-should-you-take-profits-or-hodl/,Holders and new buyers must be wary of heightened volatility.,Altcoin|Analysis|HideCryptopanic|News|News 1|No Homepage|Social|Trading View,EN,0,0,ALTCOIN|MARKET,"{'name': 'AMB Crypto', 'img': 'https://images.cryptocompare.com/news/default/ambcrypto.png', 'lang': 'EN'}",ambcrypto,2024-11-15 22:00:44
